id,name
8,Agent 13
24,Angel Dust
25,Angel Salvadore
26,Angela
38,Arachne
40,Arclight
41,Ardina
43,Ariel
44,Armor
51,Atom Girl
55,Aurora
62,Batgirl
63,Batgirl
64,Batgirl III
65,Batgirl IV
66,Batgirl V
67,Batgirl VI
72,Batwoman V
80,Big Barda
85,Binary
86,Bionic Woman
96,Black Canary
97,Black Canary
98,Black Cat
103,Black Mamba
106,Black Widow
107,Black Widow II
113,Bling!
114,Blink
119,Bloodaxe
128,Bomb Queen
129,Boom-Boom
130,Boomer
139,Buffy
141,Bumblebee
145,Callisto
155,Captain Marvel
162,Cat
163,Cat II
164,Catwoman
167,Cerebra
171,Cheetah
172,Cheetah II
173,Cheetah III
177,Claire Bennet
185,Copycat
190,Crystal
197,Dagger
199,Daphne Powell
205,Darkstar
210,Dazzler
226,Domino
228,Donna Troy
235,Elastigirl
237,Elektra
238,Elle Bishop
240,Emma Frost
241,Enchantress
242,Energy
252,Faora
254,Fighting Spirit
256,Firebird
258,Firestar
270,Frenzy
271,Frigga
274,Gamora
283,Giganta
285,Goblin Queen
294,Granny Goodness
308,Harley Quinn
313,Hawkeye II
314,Hawkgirl
316,Hawkwoman
317,Hawkwoman II
318,Hawkwoman III
320,Hela
322,Hellcat
326,Hit-Girl
328,Hollow
329,Hope Summers
333,Huntress
334,Husk
341,Indigo
343,Invisible Woman
347,Isis
355,Jean Grey
357,Jennifer Kale
358,Jesse Quick
359,Jessica Cruz
360,Jessica Jones
361,Jessica Sanders
370,Jolt
371,Jubilee
376,Jyn Erso
380,Kathryn Janeway
381,Katniss Everdeen
387,Killer Frost
399,Lady Bullseye
400,Lady Deathstrike
406,Light Lass
411,Liz Sherman
419,Luna
420,Lyja
431,Mantis
433,Marvel Girl
439,Maxima
440,Maya Herrera
441,Medusa
442,Meltdown
444,Mera
447,Meteorite
453,Minna Murray
454,Misfit
455,Miss Martian
462,Mockingbird
469,Monica Dawson
471,Moonstone
477,Ms Marvel II
480,Mystique
483,Namora
484,Namorita
487,Nebula
488,Negasonic Teenage Warhead
492,Niki Sanders
493,Nina Theroux
497,Nova
505,Oracle
512,Penance I
517,Phantom Girl
518,Phoenix
522,Plastique
523,Poison Ivy
524,Polaris
525,Power Girl
531,Psylocke
541,Rachel Pirzad
544,Raven
556,Renata Soliz
557,Rey
562,Ripcord
567,Robin VI
569,Rogue
573,Sage
581,Scarlet Witch
582,Scorpia
587,Shadow Lass
588,Shadowcat
591,She-Hulk
592,She-Thing
594,Shriek
595,Shrinking Violet
596,Sif
597,Silk
598,Silk Spectre
599,Silk Spectre II
601,Silverclaw
604,Siren
605,Siren II
606,Siryn
609,Snowbird
612,Songbird
618,Speedy
620,Spider-Girl
621,Spider-Gwen
625,Spider-Woman
626,Spider-Woman II
627,Spider-Woman III
628,Spider-Woman IV
631,Stacy X
634,Starfire
635,Stargirl
638,Stephanie Powell
640,Storm
645,Supergirl
654,T-X
656,Tempest
662,Thor Girl
667,Thundra
669,Tigra
675,Tracy Strauss
678,Triplicate Girl
681,Ultragirl
684,Vagabond
685,Valerie Hart
686,Valkyrie
693,Vertigo II
695,Vindicator
698,Violet Parr
701,Vixen
706,Warbird
710,Wasp
713,White Canary
714,White Queen
718,Wolfsbane
720,Wonder Girl
722,Wonder Woman
723,Wondra
725,X-23
729,Yellowjacket II
732,Zatanna
