id,name
0,A-Bomb
1,Abe Sapien
2,Abin Sur
3,Abomination
4,Abraxas
5,Absorbing Man
6,Adam Monroe
7,Adam Strange
9,Agent Bob
10,Agent Zero
11,Air-Walker
12,Ajax
13,Alan Scott
14,Alex Mercer
15,Alex Woolsly
16,Alfred Pennyworth
17,Alien
18,Allan Quatermain
19,Amazo
20,Ammo
21,Ando Masahashi
22,Angel
23,Angel
27,Animal Man
28,Annihilus
29,Ant-Man
30,Ant-Man II
31,Anti-Monitor
32,Anti-Spawn
33,Anti-Venom
34,Apocalypse
35,Aquababy
36,Aqualad
37,Aquaman
39,Archangel
42,Ares
45,Arsenal
46,Astro Boy
47,Atlas
48,Atlas
49,Atom
50,Atom
52,Atom II
53,Atom III
54,Atom IV
56,Azazel
57,Azrael
58,Aztar
59,Bane
60,Banshee
61,Bantam
68,Batman
69,Batman
70,Batman II
71,Battlestar
73,Beak
74,Beast
75,Beast Boy
76,Beetle
77,Ben 10
78,Beta Ray Bill
79,Beyonder
81,Big Daddy
82,Big Man
83,Bill Harken
84,Billy Kincaid
88,Bird-Man
89,Bird-Man II
90,Birdman
91,Bishop
92,Bizarro
93,Black Abbott
94,Black Adam
95,Black Bolt
99,Black Flash
100,Black Goliath
101,Black Knight III
102,Black Lightning
104,Black Manta
105,Black Panther
108,Blackout
109,Blackwing
110,Blackwulf
111,Blade
115,Blizzard
116,Blizzard
117,Blizzard II
118,Blob
120,Bloodhawk
121,Bloodwraith
122,Blue Beetle
123,Blue Beetle
124,Blue Beetle II
125,Blue Beetle III
126,Boba Fett
127,Bolt
131,Booster Gold
132,Box
135,Brainiac
136,Brainiac 5
137,Brother Voodoo
138,Brundlefly
140,Bullseye
142,Bumbleboy
143,Bushido
144,Cable
146,Cameron Hicks
147,Cannonball
148,Captain America
149,Captain Atom
150,Captain Britain
151,Captain Cold
152,Captain Epic
153,Captain Hindsight
154,Captain Mar-vell
156,Captain Marvel
157,Captain Marvel II
158,Captain Midnight
159,Captain Planet
161,Carnage
166,Century
168,Chamber
169,Chameleon
170,Changeling
174,Chromos
175,Chuck Norris
176,Citizen Steel
179,Cloak
180,Clock King
181,Cogliostro
182,Colin Wagner
183,Colossal Boy
184,Colossus
186,Corsair
187,Cottonmouth
188,Crimson Crusader
189,Crimson Dynamo
191,Curse
192,Cy-Gor
193,Cyborg
194,Cyborg Superman
195,Cyclops
198,Danny Cooper
200,Daredevil
201,Darkhawk
202,Darkman
203,Darkseid
206,Darth Maul
207,Darth Vader
208,Dash
209,Data
211,Deadman
212,Deadpool
213,Deadshot
214,Deathlok
215,Deathstroke
216,Demogoblin
217,Destroyer
218,Diamondback
219,DL Hawkins
220,Doc Samson
221,Doctor Doom
222,Doctor Doom II
223,Doctor Fate
224,Doctor Octopus
225,Doctor Strange
227,Donatello
229,Doomsday
230,Doppelganger
231,Dormammu
232,Dr Manhattan
233,Drax the Destroyer
236,Electro
239,Elongated Man
243,ERG-1
244,Ethan Hunt
245,Etrigan
246,Evil Deadpool
247,Evilhawk
248,Exodus
250,Falcon
251,Fallen One II
255,Fin Fang Foom
259,Firestorm
260,Firestorm
262,Flash
263,Flash Gordon
264,Flash II
265,Flash III
266,Flash IV
268,Franklin Richards
272,Galactus
273,Gambit
275,Garbage Man
276,Gary Bell
277,General Zod
278,Genesis
279,Ghost Rider
281,Giant-Man
282,Giant-Man II
284,Gladiator
287,Gog
288,Goku
289,Goliath
290,Goliath
291,Goliath
292,Goliath IV
293,Gorilla Grodd
295,Gravity
296,Greedo
297,Green Arrow
298,Green Goblin
299,Green Goblin II
300,Green Goblin III
301,Green Goblin IV
302,Groot
303,Guardian
304,Guy Gardner
305,Hal Jordan
306,Han Solo
307,Hancock
309,Harry Potter
310,Havok
311,Hawk
312,Hawkeye
315,Hawkman
319,Heat Wave
321,Hellboy
323,Hellstorm
324,Hercules
325,Hiro Nakamura
327,Hobgoblin
330,Howard the Duck
331,Hulk
332,Human Torch
335,Hybrid
336,Hydro-Man
337,Hyperion
338,Iceman
339,Impulse
340,Indiana Jones
342,Ink
344,Iron Fist
345,Iron Man
346,Iron Monger
348,Jack Bauer
349,Jack of Hearts
350,Jack-Jack
351,James Bond
352,James T. Kirk
353,Jar Jar Binks
354,Jason Bourne
356,Jean-Luc Picard
362,Jigsaw
363,Jim Powell
364,JJ Powell
365,Johann Krauss
366,John Constantine
367,John Stewart
368,John Wraith
369,Joker
372,Judge Dredd
373,Juggernaut
374,Junkpile
375,Justice
377,K-2SO
378,Kang
379,Karate Kid
382,Kevin 11
383,Kick-Ass
384,Kid Flash
385,Kid Flash II
386,Killer Croc
388,Kilowog
389,King Kong
390,King Shark
391,Kingpin
392,Klaw
393,Kool-Aid Man
394,Kraven II
395,Kraven the Hunter
396,Krypto
397,Kyle Rayner
398,Kylo Ren
401,Leader
402,Leech
403,Legion
404,Leonardo
405,Lex Luthor
407,Lightning Lad
408,Lightning Lord
412,Lizard
413,Lobo
414,Loki
415,Longshot
416,Luke Cage
417,Luke Campbell
418,Luke Skywalker
421,Mach-IV
423,Magneto
424,Magog
425,Magus
427,Man-Bat
428,Man-Thing
429,Man-Wolf
430,Mandarin
432,Martian Manhunter
434,Master Brood
435,Master Chief
436,Match
437,Matt Parkman
438,Maverick
443,Mephisto
445,Metallo
446,Metamorpho
448,Metron
449,Micah Sanders
450,Michelangelo
451,Micro Lad
452,Mimic
456,Mister Fantastic
457,Mister Freeze
458,Mister Knife
459,Mister Mxyzptlk
460,Mister Sinister
461,Mister Zsasz
463,MODOK
464,Mogo
